version,name
20260316122451,
20260316224020,
20260317194517,
20260318060929,
20260318060955,
20260320145757,
20260326183622,
20260326221542,
20260327143148,
20260328103258,
20260328110331,
20260328111505,
20260328123006,
20260328123959,
20260328125800,
20260328133236,
20260328133628,
20260328134152,
20260328135907,
20260328155611,
20260328155932,
20260328160736,
20260328164900,
20260328212935,
20260329181011,
20260329211952,
20260329212754,
20260403111713,
20260403112258,
20260404041220,
20260406123203,
20260406194202,
20260406201149,
20260406203409,
20260407090234,
20260407112929,
20260407115318,
20260407135511,
20260407150623,
20260407161306,
20260408071510,
20260408091702,
20260408095551,
20260409035527,
20260409040408,
20260409074536,
20260410063534,
20260410070342,
20260410113938,
20260411112153,
20260411124819,
20260411213722,
20260411215042,
20260411232922,
20260412000610,
20260415073129,
20260415114430,
20260417022356,
20260417113513,
20260417122354,
20260417125202,
20260417132527,
20260417133645,
20260418121859,
20260418135223,
20260418141929,
20260418160150,
20260418164728,
20260419073307,
20260419074858,
20260419105415,
20260419213453,
20260420043518,
20260420044434,
20260420045016,
20260420060120,
20260420090812,
20260420101602,
20260421045605,
20260421074415,
20260423214346,
20260423214633,
20260423214837,
20260423221940,
20260424111836,
20260424140211,
20260426132530,
20260427121337,
20260503201343,add_request_info_fields_to_b2b_applications
20260503215926,add_deleted_at_to_users
20260504035656,add_message_intent_to_debug_webhooks
20260508155100,phase4_sales_roster_scope
20260510120000,phase44_dispatch_proof
20260512160000,orders_human_order_number
20260514185811,add_finance_audit_columns_to_orders
20260514185829,add_payment_proof_audit_columns_to_order_payments
20260514185852,add_finance_exec_rls_policies
20260515073922,orders_finance_audit
20260515073940,buyer_payment_receipt_and_storage
20260515120000,orders_finance_audit
20260515120001,order_payment_status_on_credit_enum
20260515194500,buyer_payment_receipt_and_storage
20260516200000,orders_payment_rejection_reason
20260517072741,orders_payment_rejection_reason
20260517151438,20260517_whatsapp_messaging_backbone
20260517152907,20260517_whatsapp_provider_abstraction
20260517203808,20260518_whatsapp_automations_table
20260518074624,20260518_whatsapp_message_stitching_layer
20260518075520,20260518_whatsapp_raw_messages_and_packets
20260518210953,whatsapp_tool5_tool6_audit_tables
20260518220000,c2a_whatsapp_audit_tables_reconciliation
20260525230000,execution_os_phase3a3d_foundation
20260526010000,execution_os_phase3c_barcode_execution
20260526020000,execution_os_phase3i_operational_search_index
20260526030000,execution_os_phase4a_inventory_reservation
20260526120000,execution_os_phase4b_dispatch_readiness
20260526130000,execution_os_phase4c_finance_governance
20260526140000,execution_os_phase4d_dispatch_completion
20260526150000,execution_os_phase4e_dispatch_finalization
20260526160000,execution_os_phase4g_stock_finalization
20260601142027,fix_is_internal_staff_dispatch_head
20260602035833,pr06c1_central_tag_alias_approve_mapping
20260602040240,pr06c1_approve_catalogue_draft_internal_fn
20260602060423,phase25b_catalogue_product_mappings
20260604034227,wa_stage1_inbox_reader_rls
20260604092524,wa_sprint9_sales_order_drafts_staging
20260604104559,wa_sprint9_sales_order_drafts_immutable_fields
20260604124538,wa_sprint9_sales_order_draft_transition_rpc
20260604124553,wa_sprint9_sales_order_draft_create_atomic_rpc
20260604124925,wa_sprint9_sales_order_draft_transition_rpc_actor_check
20260604124942,wa_sprint9_sales_order_draft_create_atomic_rpc_actor_check
20260604132023,wa_sprint9_sales_order_draft_operator_final_rpc
20260604133321,wa_sprint9_sales_order_draft_submit_review_atomic_rpc
20260604135037,wa_sprint9_sales_order_draft_approve_reject_atomic_rpc
20260604142330,wa_sprint9_sales_order_draft_extraction_version_rpc
20260604164031,wa_sprint9_sales_order_draft_approve_extraction_readiness_hardening
20260605142934,sprint_9_5_customer_master_import_staging
20260605142949,sprint_9_5_customer_import_candidates
20260605143001,sprint_9_5_customer_import_helpers_rls
20260605143056,customer_import_validation_views_part1
20260605143218,customer_import_validation_views_part2
20260605143228,customer_import_validation_views_part3
20260605143246,customer_import_validation_views_part4
20260605143310,customer_import_validation_function
20260624165827,whatsapp_phase2f_quantity_realtime
20260625020441,whatsapp_studio_inbox_bridge_state
20260709085340,catalogue_ai_studio_governance
20260721185244,recoverable_cleanup_quarantine_20260722
20260721185621,hard_delete_zero_dependency_cleanup_20260722
20260721190227,reconcile_support_only_cleanup_20260722_v2
20260721190811,final_review_cleanup_20260722_v3
20260721191444,published_products_v1_read_projection
20260721191841,buyer_product_prices_v1
20260721192449,customer_order_status_v1
20260721194915,customer_order_items_v1_20260722
20260721210525,harden_customer_contracts_after_red_team_20260722
20260721210556,buyer_product_prices_v1_add_moq_20260722
20260721210613,customer_order_items_v1_delay_packed_quantity_20260722
20260721214239,support_ticket_security_boundary
20260723143648,app_verse_identity_hierarchy_rbac
20260723150039,rls_metadata_hardening_and_step_up
20260723151025,point20_operational_event_ledger
20260723152609,notification_outbox_status_expansion
20260723152658,point_21_notification_infrastructure_v2
20260723153357,point_22_storage_architecture
20260723154050,realtime_subscription_governance
20260723155004,retry_backoff_dead_letter_governance
20260723161256,legacy_role_authority_baseline
